SPECIES,longitude,latitude
Amelanchier spicata,-79.49105,44.123511
Amelanchier spicata,-80.329033,43.3751
Amelanchier spicata,-73.760778,45.476281
Amelanchier spicata,-73.340668,45.525974
Amelanchier spicata,-79.924197,43.246179
Amelanchier spicata,-75.713199,45.424354
Amelanchier spicata,-77.915887,44.5318
Amelanchier spicata,-81.534153,45.11814
Amelanchier spicata,-76.62608,44.245138
Amelanchier spicata,-76.860711,43.93945
Amelanchier spicata,-75.876601,45.357282
Amelanchier spicata,-80.864915,48.55368
Amelanchier spicata,-71.1904,48.457245
Amelanchier spicata,-70.75081,46.917082
Amelanchier spicata,-73.43641,45.59137
Amelanchier spicata,-79.45,46.589559
Amelanchier spicata,-89.568941,48.399197
Amelanchier spicata,-74.444208,45.553819
Amelanchier spicata,-86.587106,48.651909
Amelanchier spicata,-79.020133,44.655863
Amelanchier spicata,-78.449365,44.48301
Amelanchier spicata,-77.189638,44.896536
Amelanchier spicata,-71.063611,46.773889
Amelanchier spicata,-63.669444,50.273056
Amelanchier spicata,-65.954722,50.301389
Amelanchier spicata,-89.283333,48.35
Amelanchier spicata,-86.25,48.75
Amelanchier spicata,-84.75,47
Amelanchier spicata,-88,52
Amelanchier spicata,-81.85,43.216667
Amelanchier spicata,-80.413889,46.408333
Amelanchier spicata,-85,48
Amelanchier spicata,-92.283333,50.316667
Amelanchier spicata,-64.35159,44.264225
Amelanchier spicata,-64.62665,44.48721
Amelanchier spicata,-62.630625,44.800515
Amelanchier spicata,-64.05319,45.09529
Amelanchier spicata,-64.780489,44.45179
Amelanchier spicata,-77.54207,44.410423
Amelanchier spicata,-70.967,46.62299
Amelanchier spicata,-71.4,46.7
Amelanchier spicata,-78.566667,46.633333
Amelanchier spicata,-70.390556,47.4
Amelanchier spicata,-78.809444,50.129167
