SPECIES,longitude,latitude
Crataegus pruinosa,-79.885241,43.395156
Crataegus pruinosa,-81.53,42.8
Crataegus pruinosa,-82.375,42.938889
Crataegus pruinosa,-80.0028,43.51054
Crataegus pruinosa,-83.052832,42.059506
Crataegus pruinosa,-81.395526,42.947755
Crataegus pruinosa,-81.72,42.82
Crataegus pruinosa,-81.72,42.48
Crataegus pruinosa,-77.12,43.95
Crataegus pruinosa,-81.67,42.72
Crataegus pruinosa,-81.32,43.08
Crataegus pruinosa,-81.83,42.68
Crataegus pruinosa,-81.68,43.12
Crataegus pruinosa,-81.42,42.85
Crataegus pruinosa,-81.83,43.08
Crataegus pruinosa,-81.7,42.63
Crataegus pruinosa,-79.25,43.13
Crataegus pruinosa,-81.22,42.95
Crataegus pruinosa,-79.08,43.15
Crataegus pruinosa,-79.97,43.23
