SPECIES,longitude,latitude
Crataegus punctata,-72.824112,45.046222
Crataegus punctata,-75.809265,45.293834
Crataegus punctata,-79.353268,43.857387
Crataegus punctata,-79.80336,43.513612
Crataegus punctata,-78.70468,44.736366
Crataegus punctata,-80.141625,43.546792
Crataegus punctata,-79.520578,43.647285
Crataegus punctata,-75.881417,44.891439
Crataegus punctata,-81.119244,44.784762
Crataegus punctata,-76.220047,45.480099
Crataegus punctata,-78.961458,43.880856
Crataegus punctata,-73.765594,45.350761
Crataegus punctata,-80.543363,43.466844
Crataegus punctata,-71.270219,46.786999
Crataegus punctata,-77.69277,43.993782
Crataegus punctata,-73.009175,45.123804
Crataegus punctata,-81.746919,42.844945
Crataegus punctata,-76.438148,44.311541
Crataegus punctata,-74.403962,45.549606
Crataegus punctata,-80.089309,43.10261
Crataegus punctata,-72.922006,45.629667
Crataegus punctata,-72.115365,45.623282
Crataegus punctata,-70.779896,47.077798
Crataegus punctata,-72.101167,45.082006
Crataegus punctata,-80.533194,42.576228
Crataegus punctata,-79.801742,43.191338
Crataegus punctata,-73.082479,45.022259
Crataegus punctata,-82.405977,42.672424
Crataegus punctata,-71.919533,45.375133
Crataegus punctata,-80.394994,43.280973
Crataegus punctata,-72.018789,45.821515
Crataegus punctata,-80.295803,43.135349
Crataegus punctata,-80.819157,44.226236
Crataegus punctata,-78.015095,44.135252
Crataegus punctata,-79.588058,43.206665
Crataegus punctata,-79.740361,43.796208
Crataegus punctata,-78.783951,43.870078
Crataegus punctata,-80.265167,43.532592
Crataegus punctata,-81.30956,43.88732
Crataegus punctata,-75.933333,44.366667
Crataegus punctata,-79.393037,43.154609
Crataegus punctata,-81.183333,42.783333
Crataegus punctata,-77.203898,44.309451
Crataegus punctata,-80.050833,44.966667
Crataegus punctata,-81.25,42.983333
Crataegus punctata,-79.982222,43.488056
Crataegus punctata,-79.054344,43.15932
Crataegus punctata,-79.053995,42.924317
Crataegus punctata,-79.217239,44.577938
Crataegus punctata,-79.666618,44.631357
Crataegus punctata,-81.429276,43.627912
Crataegus punctata,-81.866667,42.283333
Crataegus punctata,-79.766581,43.683147
Crataegus punctata,-79.217572,43.725307
Crataegus punctata,-80.575,42.904167
Crataegus punctata,-75.933333,45.33552
Crataegus punctata,-71.4,46.733333
Crataegus punctata,-79.82996,42.97088
Crataegus punctata,-81.395526,42.9478
Crataegus punctata,-80.418395,43.442918
Crataegus punctata,-80.252166,44.408493
Crataegus punctata,-79.65,43.6
Crataegus punctata,-74.6167,45.0333
Crataegus punctata,-75.55,44.7
Crataegus punctata,-75.7,45.4167
Crataegus punctata,-76.35,45.3833
Crataegus punctata,-79.879378,43.311045
Crataegus punctata,-78.340067,44.178778
Crataegus punctata,-79.389247,43.717399
Crataegus punctata,-79.513078,42.992449
Crataegus punctata,-79.977492,44.354319
Crataegus punctata,-80.4,45.3
Crataegus punctata,-81.28,42.88
Crataegus punctata,-81.33,43.35
Crataegus punctata,-81.83,42.68
Crataegus punctata,-82.3,42.8
Crataegus punctata,-81.43,43.2
Crataegus punctata,-81.07,43.27
Crataegus punctata,-81.95,42.98
Crataegus punctata,-81.53,42.8
Crataegus punctata,-81.97,42.65
Crataegus punctata,-79.97,43.23
Crataegus punctata,-81.67,42.75
Crataegus punctata,-81.23,44.97
Crataegus punctata,-81.27,43.22
Crataegus punctata,-81.63,43.68
Crataegus punctata,-81.8,43.12
Crataegus punctata,-81.72,42.48
Crataegus punctata,-81.17,43.1
Crataegus punctata,-81.62,43.5
Crataegus punctata,-73.537778,45.558611
Crataegus punctata,-71.033333,46.45
Crataegus punctata,-73.581111,45.424444
Crataegus punctata,-74.331389,45.196667
Crataegus punctata,-72.213363,47.366223
Crataegus punctata,-73.9268,45.3035
