SPECIES,longitude,latitude
Shepherdia canadensis,-118.54065,50.419183
Shepherdia canadensis,-120.488525,51.904422
Shepherdia canadensis,-125.086667,51.806667
Shepherdia canadensis,-129.093552,59.368767
Shepherdia canadensis,-125.894829,59.160576
Shepherdia canadensis,-122.9759,51.093675
Shepherdia canadensis,-63.452034,50.206957
Shepherdia canadensis,-102.390793,52.751579
Shepherdia canadensis,-118.94924,49.582232
Shepherdia canadensis,-80.048428,44.343294
Shepherdia canadensis,-125.713181,58.778282
Shepherdia canadensis,-80.591279,44.620212
Shepherdia canadensis,-77.683342,44.113623
Shepherdia canadensis,-101.076721,51.579662
Shepherdia canadensis,-119.663178,50.419668
Shepherdia canadensis,-82.577531,45.602146
Shepherdia canadensis,-115.846535,50.327374
Shepherdia canadensis,-129.308182,56.084225
Shepherdia canadensis,-122.349236,56.143761
Shepherdia canadensis,-119.44455,50.175322
Shepherdia canadensis,-114.355118,53.446678
Shepherdia canadensis,-97.485398,50.305715
Shepherdia canadensis,-79.826196,44.390092
Shepherdia canadensis,-95.264528,50.48198
Shepherdia canadensis,-96.255597,50.150046
Shepherdia canadensis,-100.50571,51.859493
Shepherdia canadensis,-97.946069,50.933779
Shepherdia canadensis,-125.065139,56.372305
Shepherdia canadensis,-81.681278,45.218553
Shepherdia canadensis,-116.710552,54.951596
Shepherdia canadensis,-115.677453,60.739406
Shepherdia canadensis,-116.950901,50.141469
Shepherdia canadensis,-99.871928,51.199253
Shepherdia canadensis,-96.613655,49.930837
Shepherdia canadensis,-95.194869,49.784781
Shepherdia canadensis,-112.749778,61.99903
Shepherdia canadensis,-116.523703,51.531615
Shepherdia canadensis,-124.651161,58.652061
Shepherdia canadensis,-122.939531,54.906975
Shepherdia canadensis,-121.697578,55.809448
Shepherdia canadensis,-121.757217,49.988319
Shepherdia canadensis,-130.242126,57.466518
Shepherdia canadensis,-123.031563,55.062569
Shepherdia canadensis,-122.689735,50.530296
Shepherdia canadensis,-122.562775,55.49733
Shepherdia canadensis,-122.710328,55.456025
Shepherdia canadensis,-125.764633,58.923855
Shepherdia canadensis,-121.517761,50.251362
Shepherdia canadensis,-138.409133,64.357178
Shepherdia canadensis,-122.685975,54.476508
Shepherdia canadensis,-77.072128,45.169035
Shepherdia canadensis,-84.31836,55.24183
Shepherdia canadensis,-116.096419,49.079406
Shepherdia canadensis,-117.819375,52.57605
Shepherdia canadensis,-77.994225,44.107447
Shepherdia canadensis,-81.257512,44.626152
Shepherdia canadensis,-82.360779,45.733017
Shepherdia canadensis,-111.310822,56.562996
Shepherdia canadensis,-122.838731,57.383269
Shepherdia canadensis,-82.28617,45.961838
Shepherdia canadensis,-81.430324,42.949165
Shepherdia canadensis,-80.238075,44.513111
Shepherdia canadensis,-76.871605,43.946155
Shepherdia canadensis,-122.484183,50.242598
Shepherdia canadensis,-78.517297,44.100903
Shepherdia canadensis,-119.608002,49.300392
Shepherdia canadensis,-81.481922,45.235297
Shepherdia canadensis,-118.105617,52.876996
Shepherdia canadensis,-119.204269,50.787331
Shepherdia canadensis,-120.323264,49.056775
Shepherdia canadensis,-78.747704,44.379474
Shepherdia canadensis,-79.6667,54.8333
Shepherdia canadensis,-135.324081,61.8912
Shepherdia canadensis,-119.455817,51.1273
Shepherdia canadensis,-125.353419,56.235321
Shepherdia canadensis,-76.970615,45.23064
Shepherdia canadensis,-116.347337,51.44275
